pnptv-postgres  | 
pnptv-bot       | 2025-11-16 23:59:53 [[32minfo[39m]: ✓ Environment variables validated
pnptv-bot       | 2025-11-16 23:59:53 [[32minfo[39m]: Sentry initialized successfully
pnptv-bot       | 2025-11-16 23:59:53 [[32minfo[39m]: ✓ Sentry initialized
pnptv-bot       | 2025-11-16 23:59:53 [[32minfo[39m]: Firebase initialized successfully
pnptv-bot       | 2025-11-16 23:59:53 [[32minfo[39m]: ✓ Firebase initialized
pnptv-bot       | 2025-11-16 23:59:53 [[32minfo[39m]: ✓ Redis initialized
pnptv-bot       | 2025-11-16 23:59:53 [[32minfo[39m]: Prewarming plans cache...
pnptv-bot       | 2025-11-16 23:59:58 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:00:03 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:00:08 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:00:13 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:00:13 [[31merror[39m]: Cache get error: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details. {"stack":"MaxRetriesPerRequestError: Reached the max retries per request limit (which is 3). Refer to \"maxRetriesPerRequest\" option for details.\n    at Socket.<anonymous> (/app/node_modules/ioredis/built/redis/event_handler.js:207:37)\n    at Object.onceWrapper (node:events:632:26)\n    at Socket.emit (node:events:517:28)\n    at Socket.emit (node:domain:489:12)\n    at TCP.<anonymous> (node:net:350:12)"}
pnptv-bot       | 2025-11-17 00:00:13 [[31merror[39m]: Cache getOrSet error: Cannot convert undefined or null to object {"stack":"TypeError: Cannot convert undefined or null to object\n    at Function.keys (<anonymous>)\n    at Plan.findAll (/app/node_modules/sequelize/lib/model.js:1099:47)\n    at /app/src/models/planModel.js:21:36\n    at Object.getOrSet (/app/src/config/redis.js:242:27)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async Plan.getAll (/app/src/models/planModel.js:18:14)\n    at async Plan.prewarmCache (/app/src/models/planModel.js:295:21)\n    at async startBot (/app/src/bot/core/bot.js:99:9)"}
pnptv-bot       | 2025-11-17 00:00:13 [[31merror[39m]: Error getting plans: Cannot convert undefined or null to object {"stack":"TypeError: Cannot convert undefined or null to object\n    at Function.keys (<anonymous>)\n    at Plan.findAll (/app/node_modules/sequelize/lib/model.js:1099:47)\n    at /app/src/models/planModel.js:21:36\n    at Object.getOrSet (/app/src/config/redis.js:253:14)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async Plan.getAll (/app/src/models/planModel.js:18:14)\n    at async Plan.prewarmCache (/app/src/models/planModel.js:295:21)\n    at async startBot (/app/src/bot/core/bot.js:99:9)"}
pnptv-bot       | 2025-11-17 00:00:18 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:00:24 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:00:29 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:00:34 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:00:34 [[31merror[39m]: Cache get error: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details. {"stack":"MaxRetriesPerRequestError: Reached the max retries per request limit (which is 3). Refer to \"maxRetriesPerRequest\" option for details.\n    at Socket.<anonymous> (/app/node_modules/ioredis/built/redis/event_handler.js:207:37)\n    at Object.onceWrapper (node:events:632:26)\n    at Socket.emit (node:events:517:28)\n    at Socket.emit (node:domain:489:12)\n    at TCP.<anonymous> (node:net:350:12)"}
pnptv-bot       | 2025-11-17 00:00:34 [[31merror[39m]: Cache getOrSet error: Cannot read properties of undefined (reading 'constructor') {"stack":"TypeError: Cannot read properties of undefined (reading 'constructor')\n    at Plan.findOne (/app/node_modules/sequelize/lib/model.js:1228:58)\n    at Plan.findByPk (/app/node_modules/sequelize/lib/model.js:1221:23)\n    at /app/src/models/planModel.js:49:35\n    at Object.getOrSet (/app/src/config/redis.js:242:27)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async Plan.getById (/app/src/models/planModel.js:46:14)\n    at async Plan.prewarmCache (/app/src/models/planModel.js:299:9)\n    at async startBot (/app/src/bot/core/bot.js:99:9)"}
pnptv-bot       | 2025-11-17 00:00:34 [[31merror[39m]: Error getting plan: Cannot read properties of undefined (reading 'constructor') {"stack":"TypeError: Cannot read properties of undefined (reading 'constructor')\n    at Plan.findOne (/app/node_modules/sequelize/lib/model.js:1228:58)\n    at Plan.findByPk (/app/node_modules/sequelize/lib/model.js:1221:23)\n    at /app/src/models/planModel.js:49:35\n    at Object.getOrSet (/app/src/config/redis.js:253:14)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async Plan.getById (/app/src/models/planModel.js:46:14)\n    at async Plan.prewarmCache (/app/src/models/planModel.js:299:9)\n    at async startBot (/app/src/bot/core/bot.js:99:9)"}
pnptv-bot       | 2025-11-17 00:00:40 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:00:45 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:00:51 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:00:56 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:00:56 [[31merror[39m]: Cache get error: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details. {"stack":"MaxRetriesPerRequestError: Reached the max retries per request limit (which is 3). Refer to \"maxRetriesPerRequest\" option for details.\n    at Socket.<anonymous> (/app/node_modules/ioredis/built/redis/event_handler.js:207:37)\n    at Object.onceWrapper (node:events:632:26)\n    at Socket.emit (node:events:517:28)\n    at Socket.emit (node:domain:489:12)\n    at TCP.<anonymous> (node:net:350:12)"}
pnptv-bot       | 2025-11-17 00:00:56 [[31merror[39m]: Cache getOrSet error: Cannot read properties of undefined (reading 'constructor') {"stack":"TypeError: Cannot read properties of undefined (reading 'constructor')\n    at Plan.findOne (/app/node_modules/sequelize/lib/model.js:1228:58)\n    at Plan.findByPk (/app/node_modules/sequelize/lib/model.js:1221:23)\n    at /app/src/models/planModel.js:49:35\n    at Object.getOrSet (/app/src/config/redis.js:242:27)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async Plan.getById (/app/src/models/planModel.js:46:14)\n    at async Plan.prewarmCache (/app/src/models/planModel.js:299:9)\n    at async startBot (/app/src/bot/core/bot.js:99:9)"}
pnptv-bot       | 2025-11-17 00:00:56 [[31merror[39m]: Error getting plan: Cannot read properties of undefined (reading 'constructor') {"stack":"TypeError: Cannot read properties of undefined (reading 'constructor')\n    at Plan.findOne (/app/node_modules/sequelize/lib/model.js:1228:58)\n    at Plan.findByPk (/app/node_modules/sequelize/lib/model.js:1221:23)\n    at /app/src/models/planModel.js:49:35\n    at Object.getOrSet (/app/src/config/redis.js:253:14)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async Plan.getById (/app/src/models/planModel.js:46:14)\n    at async Plan.prewarmCache (/app/src/models/planModel.js:299:9)\n    at async startBot (/app/src/bot/core/bot.js:99:9)"}
pnptv-bot       | 2025-11-17 00:01:02 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:01:08 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:01:13 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:01:19 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:01:19 [[31merror[39m]: Cache get error: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details. {"stack":"MaxRetriesPerRequestError: Reached the max retries per request limit (which is 3). Refer to \"maxRetriesPerRequest\" option for details.\n    at Socket.<anonymous> (/app/node_modules/ioredis/built/redis/event_handler.js:207:37)\n    at Object.onceWrapper (node:events:632:26)\n    at Socket.emit (node:events:517:28)\n    at Socket.emit (node:domain:489:12)\n    at TCP.<anonymous> (node:net:350:12)"}
pnptv-bot       | 2025-11-17 00:01:19 [[31merror[39m]: Cache getOrSet error: Cannot read properties of undefined (reading 'constructor') {"stack":"TypeError: Cannot read properties of undefined (reading 'constructor')\n    at Plan.findOne (/app/node_modules/sequelize/lib/model.js:1228:58)\n    at Plan.findByPk (/app/node_modules/sequelize/lib/model.js:1221:23)\n    at /app/src/models/planModel.js:49:35\n    at Object.getOrSet (/app/src/config/redis.js:242:27)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async Plan.getById (/app/src/models/planModel.js:46:14)\n    at async Plan.prewarmCache (/app/src/models/planModel.js:299:9)\n    at async startBot (/app/src/bot/core/bot.js:99:9)"}
pnptv-bot       | 2025-11-17 00:01:19 [[31merror[39m]: Error getting plan: Cannot read properties of undefined (reading 'constructor') {"stack":"TypeError: Cannot read properties of undefined (reading 'constructor')\n    at Plan.findOne (/app/node_modules/sequelize/lib/model.js:1228:58)\n    at Plan.findByPk (/app/node_modules/sequelize/lib/model.js:1221:23)\n    at /app/src/models/planModel.js:49:35\n    at Object.getOrSet (/app/src/config/redis.js:253:14)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async Plan.getById (/app/src/models/planModel.js:46:14)\n    at async Plan.prewarmCache (/app/src/models/planModel.js:299:9)\n    at async startBot (/app/src/bot/core/bot.js:99:9)"}
pnptv-bot       | 2025-11-17 00:01:25 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:01:31 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:01:37 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:01:43 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:01:43 [[31merror[39m]: Cache get error: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details. {"stack":"MaxRetriesPerRequestError: Reached the max retries per request limit (which is 3). Refer to \"maxRetriesPerRequest\" option for details.\n    at Socket.<anonymous> (/app/node_modules/ioredis/built/redis/event_handler.js:207:37)\n    at Object.onceWrapper (node:events:632:26)\n    at Socket.emit (node:events:517:28)\n    at Socket.emit (node:domain:489:12)\n    at TCP.<anonymous> (node:net:350:12)"}
pnptv-bot       | 2025-11-17 00:01:43 [[31merror[39m]: Cache getOrSet error: Cannot read properties of undefined (reading 'constructor') {"stack":"TypeError: Cannot read properties of undefined (reading 'constructor')\n    at Plan.findOne (/app/node_modules/sequelize/lib/model.js:1228:58)\n    at Plan.findByPk (/app/node_modules/sequelize/lib/model.js:1221:23)\n    at /app/src/models/planModel.js:49:35\n    at Object.getOrSet (/app/src/config/redis.js:242:27)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async Plan.getById (/app/src/models/planModel.js:46:14)\n    at async Plan.prewarmCache (/app/src/models/planModel.js:299:9)\n    at async startBot (/app/src/bot/core/bot.js:99:9)"}
pnptv-bot       | 2025-11-17 00:01:43 [[31merror[39m]: Error getting plan: Cannot read properties of undefined (reading 'constructor') {"stack":"TypeError: Cannot read properties of undefined (reading 'constructor')\n    at Plan.findOne (/app/node_modules/sequelize/lib/model.js:1228:58)\n    at Plan.findByPk (/app/node_modules/sequelize/lib/model.js:1221:23)\n    at /app/src/models/planModel.js:49:35\n    at Object.getOrSet (/app/src/config/redis.js:253:14)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async Plan.getById (/app/src/models/planModel.js:46:14)\n    at async Plan.prewarmCache (/app/src/models/planModel.js:299:9)\n    at async startBot (/app/src/bot/core/bot.js:99:9)"}
pnptv-bot       | 2025-11-17 00:01:49 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:01:55 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:02:01 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:02:07 [[31merror[39m]: Redis connection error: getaddrinfo EAI_AGAIN redis {"errno":-3001,"code":"EAI_AGAIN","syscall":"getaddrinfo","hostname":"redis","stack":"Error: getaddrinfo EAI_AGAIN redis\n    at GetAddrInfoReqWrap.onlookup [as oncomplete] (node:dns:107:26)"}
pnptv-bot       | 2025-11-17 00:02:07 [[31merror[39m]: Cache get error: Reached the max retries per request limit (which is 3). Refer to "maxRetriesPerRequest" option for details. {"stack":"MaxRetriesPerRequestError: Reached the max retries per request limit (which is 3). Refer to \"maxRetriesPerRequest\" option for details.\n    at Socket.<anonymous> (/app/node_modules/ioredis/built/redis/event_handler.js:207:37)\n    at Object.onceWrapper (node:events:632:26)\n    at Socket.emit (node:events:517:28)\n    at Socket.emit (node:domain:489:12)\n    at TCP.<anonymous> (node:net:350:12)"}
pnptv-bot       | 2025-11-17 00:02:07 [[31merror[39m]: Cache getOrSet error: Cannot read properties of undefined (reading 'constructor') {"stack":"TypeError: Cannot read properties of undefined (reading 'constructor')\n    at Plan.findOne (/app/node_modules/sequelize/lib/model.js:1228:58)\n    at Plan.findByPk (/app/node_modules/sequelize/lib/model.js:1221:23)\n    at /app/src/models/planModel.js:49:35\n    at Object.getOrSet (/app/src/config/redis.js:242:27)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async Plan.getById (/app/src/models/planModel.js:46:14)\n    at async Plan.prewarmCache (/app/src/models/planModel.js:299:9)\n    at async startBot (/app/src/bot/core/bot.js:99:9)"}
pnptv-bot       | 2025-11-17 00:02:07 [[31merror[39m]: Error getting plan: Cannot read properties of undefined (reading 'constructor') {"stack":"TypeError: Cannot read properties of undefined (reading 'constructor')\n    at Plan.findOne (/app/node_modules/sequelize/lib/model.js:1228:58)\n    at Plan.findByPk (/app/node_modules/sequelize/lib/model.js:1221:23)\n    at /app/src/models/planModel.js:49:35\n    at Object.getOrSet (/app/src/config/redis.js:253:14)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)\n    at async Plan.getById (/app/src/models/planModel.js:46:14)\n    at async Plan.prewarmCache (/app/src/models/planModel.js:299:9)\n    at async startBot (/app/src/bot/core/bot.js:99:9)"}
pnptv-bot       | 2025-11-17 00:02:07 [[32minfo[39m]: Cache prewarmed with 5 plans
pnptv-bot       | 2025-11-17 00:02:07 [[32minfo[39m]: ✓ Cache prewarmed successfully
pnptv-bot       | 2025-11-17 00:02:07 [[32minfo[39m]: Payment history handlers registered
pnptv-bot       | 2025-11-17 00:02:07 [[32minfo[39m]: Payment analytics handlers registered
pnptv-bot       | 2025-11-17 00:02:07 [[32minfo[39m]: Call management handlers registered
pnptv-bot       | 2025-11-17 00:02:07 [[32minfo[39m]: Call feedback handlers registered
pnptv-bot       | 2025-11-17 00:02:07 [[32minfo[39m]: Call package handlers registered
pnptv-bot       | 2025-11-17 00:02:07 [[32minfo[39m]: Call reminder service initialized {"checkInterval":"10 minutes"}
pnptv-bot       | 2025-11-17 00:02:07 [[32minfo[39m]: ✓ Call reminder service initialized
pnptv-bot       | 2025-11-17 00:02:07 [[32minfo[39m]: ✓ Group cleanup service initialized (runs at 12:00 and 00:00 UTC)
pnptv-bot       | 2025-11-17 00:02:07 [[32minfo[39m]: ✓ Webhook set to: https://easybots.store/webhook/telegram
pnptv-bot       | 2025-11-17 00:02:07 [[32minfo[39m]: ✓ Webhook callback registered at: /webhook/telegram
pnptv-bot       | 2025-11-17 00:02:07 [[32minfo[39m]: ✓ Webhook test endpoint registered at: /webhook/telegram (GET)
pnptv-bot       | 2025-11-17 00:02:07 [[32minfo[39m]: ✓ Error handlers registered
pnptv-bot       | 2025-11-17 00:02:07 [[32minfo[39m]: 🚀 PNPtv Telegram Bot is running!
pnptv-bot       | 2025-11-17 00:02:07 [[32minfo[39m]: ✓ API server running on port 3000
